Name	Profession
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Krystyna Szumilas'	b'politycy'
b'Joanna Kluzik-Rostkowska'	b'politycy'
b'Joanna Kluzik-Rostkowska'	b'politycy'
b'Maciej Grabowski'	b'politycy'
b'Maciej Grabowski'	b'politycy'
b'Maciej Grabowski'	b'politycy'
b'Maciej Grabowski'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'Micha\xc5\x82 Boni'	b'politycy'
b'Micha\xc5\x82 Boni'	b'politycy'
b'Krzysztof Bobi\xc5\x84ski'	b'dziennikarze'
b'Lena Kolarska-Bobi\xc5\x84ska'	b'dziennikarze'
