Name	Profession
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Bartosz Kownacki'	b'prawnicy'
