Name	Profession
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Waldemar Pawlak'	b'politycy'
b'Beata Szyd\xc5\x82o'	b'politycy'
b'Boles\xc5\x82aw Piecha'	b'politycy'
b'Boles\xc5\x82aw Piecha'	b'politycy'
b'Boles\xc5\x82aw Piecha'	b'politycy'
b'Boles\xc5\x82aw Piecha'	b'politycy'
b'Jan Bury'	b'politycy'
b'Jan Bury'	b'politycy'
