Name	Profession
b'W\xc5\x82odzimierz Cimoszewicz'	b'politycy'
b'W\xc5\x82odzimierz Cimoszewicz'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'Dominika Wielowieyska'	b'dziennikarze'
b'Dominika Wielowieyska'	b'dziennikarze'
b'Dominika Wielowieyska'	b'dziennikarze'
b'Dominika Wielowieyska'	b'dziennikarze'
