Name	Profession
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
b'Jaros\xc5\x82aw Wa\xc5\x82\xc4\x99sa'	b'politycy'
